Employees Number,Last Name,First Name,Extension,Email,Office Code,Reports To,Job Title
0.0,12,3,17,3,0,0.16155088852988708,0
0.07714285714285718,15,14,13,15,0,0.0,6
0.10571428571428565,4,7,19,8,0,0.0,5
0.12285714285714278,15,19,14,20,5,0.08723747980613905,2
0.1428571428571428,0,6,15,5,3,0.08723747980613905,1
0.2014285714285713,2,1,16,0,0,0.08723747980613905,3
0.23285714285714287,7,10,9,11,0,0.22778675282714067,4
0.2342857142857142,16,10,10,12,0,0.22778675282714067,4
0.26571428571428557,4,8,4,8,1,0.22778675282714067,4
0.3057142857142856,15,17,12,18,1,0.22778675282714067,4
0.4057142857142857,17,4,5,4,2,0.22778675282714067,4
0.4585714285714284,18,5,11,7,2,0.22778675282714067,4
0.4785714285714284,0,11,18,9,3,0.16155088852988708,4
0.5257142857142856,6,6,3,6,3,0.16155088852988708,4
0.5699999999999998,3,15,8,16,3,0.16155088852988708,4
0.7128571428571426,1,9,6,10,6,0.16155088852988708,4
0.7171428571428571,8,2,1,2,6,0.16155088852988708,4
0.8700000000000001,5,0,0,1,5,0.1389337641357029,4
0.8714285714285714,11,16,1,17,5,0.1389337641357029,4
0.8814285714285712,10,18,2,19,5,0.1389337641357029,4
0.8842857142857143,13,12,0,14,4,0.08723747980613905,4
0.8900000000000001,9,20,1,21,4,1.0,4
1.0,14,13,7,13,6,0.16155088852988708,4
